language,sentence_id,token_id,head_id,dependent_id,intervener_id,dependency_relation,dependency_distance,direction,intervener_upos,head_upos,dependent_upos,arity,subtree_size,depth,modifies,complexity_score,efficiency_ratio,language_label,treebank,typology,family,region,condition,replicate,source_file,morphological_richness,head_form,dependent_form,intervener_form
telugu,69,3,4,1,3,subj,2,left,NOUN,NOUN,PRON,1,2,1,modifies_head,3.2,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,గోడలు,అవి,ఇళ్ళ
telugu,72,2,3,1,2,subj,1,left,NOUN,NOUN,PRON,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,బుట్ట,ఇది,పళ్ళ
telugu,79,2,4,1,2,udep@tmod,2,left,PRON,VERB,NOUN,0,1,1,modifies_head,1.45,1.3793103448275863,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,లేదు,ఇవ్వేళ,ఆమె
telugu,79,3,4,1,3,udep@tmod,2,left,ADV,VERB,NOUN,0,1,1,modifies_head,1.55,1.2903225806451613,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,లేదు,ఇవ్వేళ,ఇక్కడ
telugu,79,3,4,2,3,subj,1,left,ADV,VERB,PRON,0,1,1,modifies_head,1.55,0.6451612903225806,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,లేదు,ఆమె,ఇక్కడ
telugu,81,2,4,1,2,udep@tmod,2,left,PRON,VERB,ADV,0,1,1,modifies_head,1.45,1.3793103448275863,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,లేము,నిన్న,మేము
telugu,81,3,4,1,3,udep@tmod,2,left,NOUN,VERB,ADV,0,1,1,modifies_head,1.6,1.25,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,లేము,నిన్న,ఊళ్ళో
telugu,81,3,4,2,3,subj,1,left,NOUN,VERB,PRON,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,లేము,మేము,ఊళ్ళో
telugu,86,2,3,1,2,udep,1,left,NOUN,VERB,NOUN,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,లేవు,దుకాణాల్లో,బియ్యం
telugu,91,2,3,1,2,subj,1,left,PRON,VERB,PRON,0,1,1,modifies_head,1.45,0.6896551724137931,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వెళ్ళమన్నాడు,అతను,నన్ను
telugu,113,3,6,2,3,subj,3,left,ADJ,VERB,NOUN,0,1,2,neither,1.95,1.5384615384615385,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తింటాడు,అబ్బాయి,ఎడమ
telugu,113,4,6,2,4,subj,3,left,NOUN,VERB,NOUN,1,2,1,modifies_head,3.2,0.9375,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తింటాడు,అబ్బాయి,చేతితో
telugu,113,5,6,2,5,subj,3,left,NOUN,VERB,NOUN,0,1,1,modifies_head,1.6,1.875,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తింటాడు,అబ్బాయి,అన్నం
telugu,113,5,6,4,5,udep,1,left,NOUN,VERB,NOUN,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తింటాడు,చేతితో,అన్నం
telugu,115,2,4,1,2,subj,2,left,ADV,VERB,PROPN,0,1,1,modifies_head,1.55,1.2903225806451613,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వెళ్ళలేకపోతున్నది,కమల,ఒంటరిగా
telugu,115,3,4,1,3,subj,2,left,NOUN,VERB,PROPN,0,1,1,modifies_head,1.6,1.25,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వెళ్ళలేకపోతున్నది,కమల,ఇంటికి
telugu,115,3,4,2,3,mod,1,left,NOUN,VERB,ADV,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వెళ్ళలేకపోతున్నది,ఒంటరిగా,ఇంటికి
telugu,117,2,4,1,2,subj,2,left,ADJ,VERB,PRON,0,1,2,neither,1.95,1.0256410256410258,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,కారు,వాళ్ళు,పెద్ద
telugu,117,3,4,1,3,subj,2,left,NOUN,VERB,PRON,1,2,1,modifies_head,3.2,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,కారు,వాళ్ళు,మనుషులు
telugu,132,2,3,1,2,udep,1,left,NOUN,VERB,PRON,0,1,2,modifies_head,2.0,0.5,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,బాధపడాలి,నాలాగా,జన్మంతా
telugu,144,2,4,1,2,subj,2,left,NOUN,VERB,PROPN,0,1,1,modifies_head,1.6,1.25,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తెచ్చేడు,రామయ్య,ఇంటికి
telugu,144,3,4,1,3,subj,2,left,NOUN,VERB,PROPN,0,1,1,modifies_head,1.6,1.25,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తెచ్చేడు,రామయ్య,మందు
telugu,144,3,4,2,3,udep,1,left,NOUN,VERB,NOUN,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తెచ్చేడు,ఇంటికి,మందు
telugu,146,2,3,1,2,subj,1,left,NOUN,VERB,PROPN,0,1,2,modifies_head,2.0,0.5,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తెచ్చింది,రామయ్య,మందు
telugu,152,2,3,1,2,subj@nc,1,left,ADV,VERB,PRON,0,1,1,modifies_head,1.55,0.6451612903225806,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,ఉంది,నాకు,చలిగా
telugu,153,2,3,1,2,comp:obj,1,left,NOUN,VERB,PRON,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వేస్తున్నది,నాకు,చలి
telugu,186,2,3,1,2,subj,1,left,NOUN,VERB,PRON,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,కాదు,నువ్వు,గట్టివాడివి
telugu,216,2,3,1,2,subj,1,left,NOUN,VERB,PRON,0,1,2,modifies_head,2.0,0.5,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తినక,వాడు,అన్నం
telugu,216,4,6,3,4,mod,2,left,NUM,VERB,VERB,0,1,2,neither,1.8499999999999999,1.0810810810810811,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,1,అయింది,తినక,మూడు
telugu,216,5,6,3,5,mod,2,left,NOUN,VERB,VERB,1,2,1,modifies_head,3.2,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అయింది,తినక,రోజులు
telugu,254,3,4,2,3,subj,1,left,PRON,VERB,VERB,0,1,1,modifies_head,1.45,0.6896551724137931,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తెలియదు,వెళ్ళేది,నాకు
telugu,265,4,5,3,4,comp:obj,1,left,NOUN,VERB,NOUN,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వేసేను,ఉత్తరం,పోస్ట్లో
telugu,285,3,5,2,3,udep,2,left,NUM,VERB,NOUN,0,1,2,neither,1.8499999999999999,1.0810810810810811,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,1,ఉన్నాడు,ఊళ్ళో,ఒక
telugu,285,4,5,2,4,udep,2,left,NOUN,VERB,NOUN,1,2,1,modifies_head,3.2,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,ఉన్నాడు,ఊళ్ళో,రాజు
telugu,312,2,3,1,2,subj,1,left,ADV,VERB,PRON,0,1,2,modifies_head,1.95,0.5128205128205129,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వచ్చినప్పటికీ,అతను,ఆలస్యంగా
telugu,312,5,6,3,5,mod,1,left,NOUN,VERB,VERB,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,దొరికింది,వచ్చినప్పటికీ,రైలు
telugu,323,4,6,3,4,subj,2,left,ADJ,VERB,NOUN,0,1,2,neither,1.95,1.0256410256410258,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,ఉన్నది,ఇల్లు,మరొక
telugu,323,5,6,3,5,subj,2,left,NOUN,VERB,NOUN,1,2,1,modifies_head,3.2,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,ఉన్నది,ఇల్లు,వీథిలో
telugu,329,2,7,1,2,subj,5,left,PRON,VERB,PROPN,0,1,3,neither,2.2500000000000004,2.222222222222222,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేడు,రాము,నేను
telugu,329,3,7,1,3,subj,5,left,NOUN,VERB,PROPN,0,1,3,neither,2.4000000000000004,2.083333333333333,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేడు,రాము,రేపు
telugu,329,4,7,1,4,subj,5,left,VERB,VERB,PROPN,2,3,2,neither,5.25,0.9523809523809523,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేడు,రాము,వెళ్తాను
telugu,329,5,7,1,5,subj,5,left,SCONJ,VERB,PROPN,1,4,1,modifies_head,4.1499999999999995,1.2048192771084338,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేడు,రాము,అని
telugu,329,6,7,1,6,subj,5,left,PROPN,VERB,PROPN,0,1,1,modifies_head,1.55,3.225806451612903,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేడు,రాము,కమలతో
telugu,329,3,4,2,3,subj,1,left,NOUN,VERB,PRON,0,1,3,modifies_head,2.4000000000000004,0.41666666666666663,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వెళ్తాను,నేను,రేపు
telugu,329,6,7,5,6,comp:obl,1,left,PROPN,VERB,SCONJ,0,1,1,modifies_head,1.55,0.6451612903225806,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేడు,అని,కమలతో
telugu,333,2,7,1,2,subj,5,left,PRON,VERB,PRON,0,1,1,modifies_head,1.45,3.4482758620689657,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేవు,నువ్వు,నాతో
telugu,333,3,7,1,3,subj,5,left,PRON,VERB,PRON,0,1,3,neither,2.2500000000000004,2.222222222222222,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేవు,నువ్వు,నువ్వు
telugu,333,4,7,1,4,subj,5,left,NOUN,VERB,PRON,0,1,3,neither,2.4000000000000004,2.083333333333333,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేవు,నువ్వు,రేపు
telugu,333,5,7,1,5,subj,5,left,VERB,VERB,PRON,2,3,2,neither,5.25,0.9523809523809523,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేవు,నువ్వు,వస్తావు
telugu,333,6,7,1,6,subj,5,left,SCONJ,VERB,PRON,1,4,1,modifies_head,4.1499999999999995,1.2048192771084338,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేవు,నువ్వు,అని
telugu,333,3,7,2,3,comp:obj,4,left,PRON,VERB,PRON,0,1,3,neither,2.2500000000000004,1.7777777777777775,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేవు,నాతో,నువ్వు
telugu,333,4,7,2,4,comp:obj,4,left,NOUN,VERB,PRON,0,1,3,neither,2.4000000000000004,1.6666666666666665,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేవు,నాతో,రేపు
telugu,333,5,7,2,5,comp:obj,4,left,VERB,VERB,PRON,2,3,2,neither,5.25,0.7619047619047619,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేవు,నాతో,వస్తావు
telugu,333,6,7,2,6,comp:obj,4,left,SCONJ,VERB,PRON,1,4,1,modifies_head,4.1499999999999995,0.9638554216867471,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెప్పేవు,నాతో,అని
telugu,333,4,5,3,4,subj,1,left,NOUN,VERB,PRON,0,1,3,modifies_head,2.4000000000000004,0.41666666666666663,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వస్తావు,నువ్వు,రేపు
telugu,337,2,6,1,2,subj,4,left,PRON,VERB,PRON,0,1,1,modifies_head,1.45,2.7586206896551726,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అడిగేను,నేను,నువ్వు
telugu,337,3,6,1,3,subj,4,left,NOUN,VERB,PRON,0,1,3,neither,2.4000000000000004,1.6666666666666665,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అడిగేను,నేను,రేపు
telugu,337,4,6,1,4,subj,4,left,VERB,VERB,PRON,1,2,2,neither,3.65,1.095890410958904,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అడిగేను,నేను,వస్తావా
telugu,337,5,6,1,5,subj,4,left,SCONJ,VERB,PRON,1,3,1,modifies_head,3.55,1.1267605633802817,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అడిగేను,నేను,అని
telugu,337,3,6,2,3,comp:obj,3,left,NOUN,VERB,PRON,0,1,3,neither,2.4000000000000004,1.2499999999999998,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అడిగేను,నువ్వు,రేపు
telugu,337,4,6,2,4,comp:obj,3,left,VERB,VERB,PRON,1,2,2,neither,3.65,0.8219178082191781,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అడిగేను,నువ్వు,వస్తావా
telugu,337,5,6,2,5,comp:obj,3,left,SCONJ,VERB,PRON,1,3,1,modifies_head,3.55,0.8450704225352114,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అడిగేను,నువ్వు,అని
telugu,340,2,7,1,2,subj,5,left,PRON,VERB,PRON,0,1,1,modifies_head,1.45,3.4482758620689657,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్నావు,నువ్వు,నాతో
telugu,340,3,7,1,3,subj,5,left,PRON,VERB,PRON,0,1,3,neither,2.2500000000000004,2.222222222222222,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్నావు,నువ్వు,నువ్వు
telugu,340,4,7,1,4,subj,5,left,NOUN,VERB,PRON,0,1,3,neither,2.4000000000000004,2.083333333333333,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్నావు,నువ్వు,రేపు
telugu,340,5,7,1,5,subj,5,left,VERB,VERB,PRON,2,3,2,neither,5.25,0.9523809523809523,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్నావు,నువ్వు,రా
telugu,340,6,7,1,6,subj,5,left,SCONJ,VERB,PRON,1,4,1,modifies_head,4.1499999999999995,1.2048192771084338,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్నావు,నువ్వు,అని
telugu,340,3,7,2,3,comp:obj,4,left,PRON,VERB,PRON,0,1,3,neither,2.2500000000000004,1.7777777777777775,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్నావు,నాతో,నువ్వు
telugu,340,4,7,2,4,comp:obj,4,left,NOUN,VERB,PRON,0,1,3,neither,2.4000000000000004,1.6666666666666665,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్నావు,నాతో,రేపు
telugu,340,5,7,2,5,comp:obj,4,left,VERB,VERB,PRON,2,3,2,neither,5.25,0.7619047619047619,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్నావు,నాతో,రా
telugu,340,6,7,2,6,comp:obj,4,left,SCONJ,VERB,PRON,1,4,1,modifies_head,4.1499999999999995,0.9638554216867471,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్నావు,నాతో,అని
telugu,340,4,5,3,4,subj,1,left,NOUN,VERB,PRON,0,1,3,modifies_head,2.4000000000000004,0.41666666666666663,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,రా,నువ్వు,రేపు
telugu,344,2,5,1,2,subj,3,left,PRON,VERB,PRON,0,1,2,neither,1.8499999999999999,1.6216216216216217,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చూడమనలేదా,మీరు,వాణ్ణి
telugu,344,3,5,1,3,subj,3,left,VERB,VERB,PRON,1,2,1,modifies_head,3.25,0.9230769230769231,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చూడమనలేదా,మీరు,వెళ్ళి
telugu,344,4,5,1,4,subj,3,left,NOUN,VERB,PRON,0,1,1,modifies_head,1.6,1.875,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చూడమనలేదా,మీరు,సినిమా
telugu,344,4,5,3,4,comp:obl,1,left,NOUN,VERB,VERB,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చూడమనలేదా,వెళ్ళి,సినిమా
telugu,345,2,4,1,2,subj,2,left,PRON,VERB,PRON,0,1,1,modifies_head,1.45,1.3793103448275863,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,పిలవమన్నారా,మీరు,నన్ను
telugu,345,3,4,1,3,subj,2,left,PRON,VERB,PRON,0,1,1,modifies_head,1.45,1.3793103448275863,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,పిలవమన్నారా,మీరు,అతన్ని
telugu,345,3,4,2,3,udep,1,left,PRON,VERB,PRON,0,1,1,modifies_head,1.45,0.6896551724137931,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,పిలవమన్నారా,నన్ను,అతన్ని
telugu,404,2,5,1,2,subj,3,left,PART,VERB,PROPN,0,1,3,modifies_dependent,2.1500000000000004,1.3953488372093021,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్న,ఎ.,గారు
telugu,404,3,5,1,3,subj,3,left,DET,VERB,PROPN,0,1,3,neither,2.2,1.3636363636363635,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్న,ఎ.,ఈ
telugu,404,4,5,1,4,subj,3,left,NOUN,VERB,PROPN,1,2,2,modifies_head,3.6,0.8333333333333333,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,అన్న,ఎ.,మాట
telugu,404,6,10,5,6,comp:obj,3,left,NOUN,VERB,VERB,0,1,2,modifies_dependent,2.0,1.5,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,పోయేరు,అన్న,మరునాడే
telugu,404,8,10,5,8,comp:obj,3,left,PRON,VERB,VERB,0,1,1,modifies_head,1.45,2.0689655172413794,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,పోయేరు,అన్న,అందరూ
telugu,404,9,10,5,9,comp:obj,3,left,VERB,VERB,VERB,0,1,1,modifies_head,1.65,1.8181818181818183,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,పోయేరు,అన్న,మరిచి
telugu,404,9,10,8,9,subj,1,left,VERB,VERB,PRON,0,1,1,modifies_head,1.65,0.6060606060606061,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,పోయేరు,అందరూ,మరిచి
telugu,434,2,3,1,2,mod,1,left,PRON,VERB,ADV,0,1,1,modifies_head,1.45,0.6896551724137931,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెయ్యాలి,ఇక,ఏమి
telugu,436,3,4,2,3,subj,1,left,NOUN,VERB,NOUN,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,కూర్చున్నాడు,తమ్ముడు,బైట
telugu,453,2,3,1,2,subj,1,left,VERB,VERB,NOUN,0,1,2,modifies_head,2.05,0.48780487804878053,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,రావటంతోనే,డాక్టరుగారు,వచ్చీ
telugu,453,5,6,3,5,mod,1,left,PRON,VERB,VERB,0,1,1,modifies_head,1.45,0.6896551724137931,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,కలుసుకున్నాను,రావటంతోనే,ఆయన్ని
telugu,461,2,3,1,2,subj,1,left,VERB,ADP,PRON,0,1,2,modifies_head,2.05,0.48780487804878053,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వల్ల,ఆయన,రాలేకపోవటం
telugu,461,5,7,3,5,mod,2,left,PRON,VERB,ADP,0,1,1,modifies_head,1.45,1.3793103448275863,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వెళ్ళేం,వల్ల,మేం
